course_name,topic_name,topic_url
Financial Statement Analysis I,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Asset Pricing and Portfolio Management I,efficient markets hypothesis,http://dbpedia.org/resource/Efficient-market_hypothesis
Asset Pricing and Portfolio Management I,international,http://dbpedia.org/resource/International
Asset Pricing and Portfolio Management I,portfolio management,http://dbpedia.org/resource/Investment_management
Asset Pricing and Portfolio Management I,asset allocation,http://dbpedia.org/resource/Asset_allocation
Asset Pricing and Portfolio Management I,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Security Valuation in the Domestic and International Environment,equity,http://dbpedia.org/resource/Stock
Security Valuation in the Domestic and International Environment,fixed income,http://dbpedia.org/resource/Fixed_income
Security Valuation in the Domestic and International Environment,derivative,http://dbpedia.org/resource/Derivative
Security Valuation in the Domestic and International Environment,securities,http://dbpedia.org/resource/Stock
Security Valuation in the Domestic and International Environment,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
CFA Exam Preparation Course Level I,CFA,http://dbpedia.org/resource/Chartered_Financial_Analyst
CFA Exam Preparation Course Level I,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Quantitative Techniques,classical,http://dbpedia.org/resource/Classical_mechanics
Quantitative Techniques,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Corporate Finance,corporate finance,http://dbpedia.org/resource/Corporate_finance
Corporate Finance,cash flow,http://dbpedia.org/resource/Cash_flow
Corporate Finance,liquidity,http://dbpedia.org/resource/Market_liquidity
Corporate Finance,dividend,http://dbpedia.org/resource/Dividend
Corporate Finance,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in Corporate Finance,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in Corporate Finance,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in Corporate Finance,finance theory,http://dbpedia.org/resource/Finance
Seminar in Corporate Finance,dividend,http://dbpedia.org/resource/Dividend
Seminar in Corporate Finance,equity,http://dbpedia.org/resource/Private_equity
Financial Statement Analysis II,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Financial Statement Analysis II,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Financial Statement Analysis II,financial statements,http://dbpedia.org/resource/Financial_statement
Financial Statement Analysis II,international,http://dbpedia.org/resource/International
Fixed Income Analysis,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Fixed Income Analysis,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Fixed Income Analysis,securities,http://dbpedia.org/resource/United_States_Treasury_security
Fixed Income Analysis,derivative,http://dbpedia.org/resource/Derivative
Fixed Income Analysis,private equity,http://dbpedia.org/resource/Private_equity
Derivatives,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Derivatives,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Asset Pricing and Portfolio Management II,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Asset Pricing and Portfolio Management II,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Asset Pricing and Portfolio Management II,forecasting,http://dbpedia.org/resource/Forecasting
Asset Pricing and Portfolio Management II,portfolio management,http://dbpedia.org/resource/Investment_management
Analysis of Equity Investments,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Analysis of Equity Investments,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Analysis of Equity Investments,fundamental analysis,http://dbpedia.org/resource/Fundamental_analysis
Analysis of Equity Investments,equity derivative,http://dbpedia.org/resource/Equity_derivative
Analysis of Equity Investments,securities,http://dbpedia.org/resource/Stock
Asset Allocation and Performance Measurement,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Asset Allocation and Performance Measurement,equity,http://dbpedia.org/resource/Stock
Asset Allocation and Performance Measurement,fixed income,http://dbpedia.org/resource/Fixed_income
Asset Allocation and Performance Measurement,manager,http://dbpedia.org/resource/Management
Investment Law and Ethics,MBA,http://dbpedia.org/resource/Master_of_Business_Administration
Investment Law and Ethics,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Investment Law and Ethics,The practice,http://dbpedia.org/resource/The_Practice
Investment Law and Ethics,portfolio management,http://dbpedia.org/resource/Investment_management
Investment Law and Ethics,topical,http://dbpedia.org/resource/Topical_medication
Alternative Investments,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Alternative Investments,hedge,http://dbpedia.org/resource/Hedge_fund
Alternative Investments,private equity,http://dbpedia.org/resource/Private_equity
Seminar in Investment Analysis and Management,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in Investment Analysis and Management,risk management,http://dbpedia.org/resource/Financial_risk_management
Seminar in Investment Analysis and Management,drag,http://dbpedia.org/resource/Drag_queen
Seminar in Investment Analysis and Management,equity,http://dbpedia.org/resource/Stock
Seminar in International Investment Analysis and Management,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in International Investment Analysis and Management,market sentiment,http://dbpedia.org/resource/Market_sentiment
Seminar in International Investment Analysis and Management,international,http://dbpedia.org/resource/International
Seminar in International Investment Analysis and Management,emerging markets,http://dbpedia.org/resource/Emerging_markets
Seminar in International Investment Analysis and Management,emerging market,http://dbpedia.org/resource/Emerging_markets
CFA Exam Preparation Course Level II,CFA,http://dbpedia.org/resource/Chartered_Financial_Analyst
CFA Exam Preparation Course Level II,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
CFA Exam Preparation Course Level III,CFA,http://dbpedia.org/resource/Chartered_Financial_Analyst
CFA Exam Preparation Course Level III,IMBA,http://dbpedia.org/resource/Master_of_Business_Administration
Seminar in Organizational Behaviour,organizational behaviour,http://dbpedia.org/resource/Organizational_behavior
Seminar in Organizational Behaviour,organizational theory,http://dbpedia.org/resource/Organizational_theory
"Seminar in Motivation, Evaluation and Rewards",human resource management,http://dbpedia.org/resource/Human_resource_management
"Seminar in Motivation, Evaluation and Rewards",international,http://dbpedia.org/resource/International
Seminar in Meso Organizational Behaviour,organizational behaviour,http://dbpedia.org/resource/Organizational_behavior
Seminar in Meso Organizational Behaviour,micro,http://dbpedia.org/resource/Microsociology
Seminar in Meso Organizational Behaviour,The seminar,http://dbpedia.org/resource/The_Seminar
Seminar in Meso Organizational Behaviour,human resource management,http://dbpedia.org/resource/Human_resource_management
Seminar in Organizational Theory and Design,Organizational Theory,http://dbpedia.org/resource/Organizational_theory
Seminar in Organizational Theory and Design,interact,http://dbpedia.org/resource/Interaction
Seminar in Organizational Theory and Design,rhetoric,http://dbpedia.org/resource/Rhetoric
Seminar in Organizational Theory and Design,impression management,http://dbpedia.org/resource/Impression_management
Seminar in Strategic Management in Global Context,strategic management,http://dbpedia.org/resource/Strategic_management
Seminar in International Management,multinational corporate,http://dbpedia.org/resource/Multinational_corporation
Seminar in International Management,management systems,http://dbpedia.org/resource/Management_system
Seminar in International Management,developing countries,http://dbpedia.org/resource/Developing_country
Seminar in International Management,international,http://dbpedia.org/resource/International
Seminar in International Management,multinational enterprise,http://dbpedia.org/resource/Multinational_corporation
Seminar in International Management,internationalization,http://dbpedia.org/resource/Internationalization
