Course_Name,Topic_name,topic_Url
Econometrics II,statistical software,http://dbpedia.org/resource/List_of_statistical_packages
Economic Development,capital formation,http://dbpedia.org/resource/Capital_formation
Economic Development: Policy Analysis,input-output analysis,http://dbpedia.org/resource/Input–output_model
Economic Development: Policy Analysis,computable general equilibrium,http://dbpedia.org/resource/Computable_general_equilibrium
Economic Development: Policy Analysis,cost-benefit analysis,http://dbpedia.org/resource/Cost–benefit_analysis
Economic History,economic history,http://dbpedia.org/resource/Economic_history
Economic History Prior to the Industrial Revolution,Industrial Revolution,http://dbpedia.org/resource/Industrial_Revolution
Economic History Prior to the Industrial Revolution,evolution,http://dbpedia.org/resource/Evolution
Economic History Prior to the Industrial Revolution,regression,http://dbpedia.org/resource/Regression_analysis
Economics of Human Resources,economics,http://dbpedia.org/resource/Economics
Economics of Personnel and Industrial Relations,microeconomics,http://dbpedia.org/resource/Microeconomics
Economics of Personnel and Industrial Relations,economics,http://dbpedia.org/resource/Economics
Economics of Public Expenditure,public goods,http://dbpedia.org/resource/Public_good
Economics of Public Expenditure,public choice,http://dbpedia.org/resource/Public_choice
Economics of Public Expenditure,intergovernmental,http://dbpedia.org/resource/Intergovernmental_organization
Economics of Regulation,Canadian,http://dbpedia.org/resource/Canada
Economics of the Environment,economics,http://dbpedia.org/resource/Economics
Economics of Uncertainty,insurance,http://dbpedia.org/resource/Insurance
Economics of Uncertainty,macroeconomics,http://dbpedia.org/resource/Macroeconomics
Economics of Uncertainty,inflation,http://dbpedia.org/resource/Inflation
Environmental Economics,Environmental Economics,http://dbpedia.org/resource/Environmental_economics
Environmental Economics,economics,http://dbpedia.org/resource/Ecological_economics
Environmental Economics,sustainable development,http://dbpedia.org/resource/Sustainable_development
Environmental Economics,mineral,http://dbpedia.org/resource/Mineral
Environmental Economics,energy,http://dbpedia.org/resource/Energy_development
Environmental Economics,renewable,http://dbpedia.org/resource/Natural_resource
Environmental Economics,international,http://dbpedia.org/resource/International
Environmental Economics,environmental policy,http://dbpedia.org/resource/Environmental_policy
Environmental Economics,intergenerational equity,http://dbpedia.org/resource/Intergenerational_equity
Environmental Economics,environmental ethics,http://dbpedia.org/resource/Environmental_ethics
Financial Economics,economist,http://dbpedia.org/resource/Neoclassical_economics
Financial Economics,equilibrium,http://dbpedia.org/resource/Economic_equilibrium
Financial Economics,arbitrage,http://dbpedia.org/resource/Arbitrage
Financial Economics,derivative,http://dbpedia.org/resource/Derivative
Financial Economics,securities,http://dbpedia.org/resource/Stock
Game Theory Information and Economic Modelling,Game Theory,http://dbpedia.org/resource/Game_theory
Game Theory Information and Economic Modelling,Economic Modelling,http://dbpedia.org/resource/Economic_model
Game Theory Information and Economic Modelling,international,http://dbpedia.org/resource/International_law
Game Theory Information and Economic Modelling,game theoretic,http://dbpedia.org/resource/Game_theory
Game Theory Information and Economic Modelling,extensive form,http://dbpedia.org/resource/Extensive-form_game
Game Theory Information and Economic Modelling,Bayesian,http://dbpedia.org/resource/Bayesian_probability
Game Theory Information and Economic Modelling,subgame perfection,http://dbpedia.org/resource/Subgame_perfect_equilibrium
Game Theory Information and Economic Modelling,equilibrium,http://dbpedia.org/resource/Nash_equilibrium
Game Theory Information and Economic Modelling,oligopoly,http://dbpedia.org/resource/Oligopoly
Game Theory Information and Economic Modelling,deterrence,http://dbpedia.org/resource/Force_de_dissuasion
Health Economics,Health Economics,http://dbpedia.org/resource/Health_economics
Health Economics,economics,http://dbpedia.org/resource/Economics
Health Economics,health insurance,http://dbpedia.org/resource/Health_insurance
Health Economics,health care reform,http://dbpedia.org/resource/Health_care_reform
History of Early Economic Thought,evolution,http://dbpedia.org/resource/Evolution
History of Early Economic Thought,Greek philosophers,http://dbpedia.org/resource/Ancient_Greek_philosophy
History of Early Economic Thought,economics,http://dbpedia.org/resource/Economics
History of Early Economic Thought,outline,http://dbpedia.org/resource/Outline_of_history
History of Modern Economic Thought,evolution,http://dbpedia.org/resource/History_of_evolutionary_thought
History of Modern Economic Thought,economics,http://dbpedia.org/resource/Economics
History of Modern Economic Thought,Monetarism,http://dbpedia.org/resource/Monetarism
Economic Data Analysis,international,http://dbpedia.org/resource/International
Economic Data Analysis,database management,http://dbpedia.org/resource/Database
Economic Data Analysis,spreadsheet,http://dbpedia.org/resource/Spreadsheet
Economic Data Analysis,statistical software,http://dbpedia.org/resource/List_of_statistical_packages
Economic History After the Industrial Revolution,Industrial Revolution,http://dbpedia.org/resource/Industrial_Revolution
Economic History After the Industrial Revolution,Europe,http://dbpedia.org/resource/Europe
Economic History After the Industrial Revolution,North America,http://dbpedia.org/resource/North_America
Economic History of Canada,Canada,http://dbpedia.org/resource/Canada
Economic History of Canada,Canadian,http://dbpedia.org/resource/Canada
Employment Earnings and Labour Market Policies,Labour,http://dbpedia.org/resource/New_Zealand_Labour_Party
Employment Earnings and Labour Market Policies,macroeconomic,http://dbpedia.org/resource/Macroeconomics
Employment Earnings and Labour Market Policies,equilibrium,http://dbpedia.org/resource/Economic_equilibrium
Employment Earnings and Labour Market Policies,employment insurance,http://dbpedia.org/resource/Unemployment_benefits
Employment Earnings and Labour Market Policies,minimum wage,http://dbpedia.org/resource/Minimum_wage_in_the_United_States
Income Distribution and Economic Inequality,Economic Inequality,http://dbpedia.org/resource/Economic_inequality
Income Distribution and Economic Inequality,income inequality,http://dbpedia.org/resource/Economic_inequality
Income Distribution and Economic Inequality,wealth inequality,http://dbpedia.org/resource/Economic_inequality
Income Distribution and Economic Inequality,poverty,http://dbpedia.org/resource/Poverty
Industrial Organization,interact,http://dbpedia.org/resource/Interaction
Industrial Organization,oligopoly,http://dbpedia.org/resource/Oligopoly
Industrial Organization,product differentiation,http://dbpedia.org/resource/Product_differentiation
Industrial Organization,vertical integration,http://dbpedia.org/resource/Vertical_integration
Industrial Organization,anti-trust,http://dbpedia.org/resource/Competition_law
Industrial Relations I,collective bargaining,http://dbpedia.org/resource/Collective_bargaining
Industrial Relations I,labour movement,http://dbpedia.org/resource/Labour_movement
Industrial Relations I,automation,http://dbpedia.org/resource/Automation
Intermediate Macroeconomic Theory I,national income,http://dbpedia.org/resource/Measures_of_national_income_and_output
Intermediate Macroeconomic Theory I,aggregate supply,http://dbpedia.org/resource/Aggregate_supply
Intermediate Macroeconomic Theory I,aggregate demand,http://dbpedia.org/resource/Aggregate_demand
Intermediate Macroeconomic Theory I,national debt,http://dbpedia.org/resource/Government_debt
Intermediate Macroeconomic Theory I,macroeconomic,http://dbpedia.org/resource/Macroeconomics
Intermediate Macroeconomic Theory I,monetary policy,http://dbpedia.org/resource/Monetary_policy
Intermediate Macroeconomic Theory II,labour market,http://dbpedia.org/resource/Labour_economics
Intermediate Macroeconomic Theory II,evolution,http://dbpedia.org/resource/Evolution
Intermediate Macroeconomic Theory II,business cycles,http://dbpedia.org/resource/Business_cycle
Intermediate Macroeconomic Theory II,macroeconomic,http://dbpedia.org/resource/Macroeconomics
Intermediate Macroeconomic Theory II,Canada,http://dbpedia.org/resource/Canada
Intermediate Microeconomic Theory I,Microeconomic Theory,http://dbpedia.org/resource/Microeconomics
Intermediate Microeconomic Theory I,consumer behaviour,http://dbpedia.org/resource/Consumer_behaviour
Intermediate Microeconomic Theory II,Microeconomic Theory,http://dbpedia.org/resource/Microeconomics
Intermediate Microeconomic Theory II,perfect competition,http://dbpedia.org/resource/Perfect_competition
Intermediate Microeconomic Theory II,monopoly,http://dbpedia.org/resource/Monopoly
Intermediate Microeconomic Theory II,oligopoly,http://dbpedia.org/resource/Oligopoly
Intermediate Microeconomic Theory II,income distribution,http://dbpedia.org/resource/Income_distribution
Intermediate Microeconomic Theory II,economic efficiency,http://dbpedia.org/resource/Economic_efficiency
Intermediate Microeconomic Theory II,general equilibrium,http://dbpedia.org/resource/General_equilibrium_theory
Intermediate Microeconomic Theory II,economics,http://dbpedia.org/resource/Economic_equilibrium
International Economic Policy and Institutions,protectionism,http://dbpedia.org/resource/Protectionism
International Economic Policy and Institutions,exchange rate,http://dbpedia.org/resource/Exchange_rate
International Economic Policy and Institutions,currency,http://dbpedia.org/resource/Currency
International Economic Policy and Institutions,convertibility,http://dbpedia.org/resource/Convertibility
International Economic Policy and Institutions,international,http://dbpedia.org/resource/International
International Economics: Finance,national income,http://dbpedia.org/resource/Measures_of_national_income_and_output
International Economics: Finance,exchange rate,http://dbpedia.org/resource/Exchange_rate
International Economics: Finance,exchange rate regimes,http://dbpedia.org/resource/Exchange-rate_regime
International Economics: Finance,international,http://dbpedia.org/resource/International_law
International Economics: Finance,optimum currency areas,http://dbpedia.org/resource/Optimum_currency_area
International Economics: Trade Theory,international,http://dbpedia.org/resource/International_law
International Economics: Trade Theory,equalization,http://dbpedia.org/resource/Equalization_payments
International Economics: Trade Theory,tariff,http://dbpedia.org/resource/Tariff
International Economics: Trade Theory,Canadian,http://dbpedia.org/resource/Canadians
Introduction to Labour Economics,Labour,http://dbpedia.org/resource/New_Zealand_Labour_Party
Introduction to Labour Economics,economics,http://dbpedia.org/resource/Economics
Introduction to Labour Economics,Canada,http://dbpedia.org/resource/Canada
Introduction to Labour Economics,human capital,http://dbpedia.org/resource/Human_capital
Introduction to Macroeconomics,Macroeconomics,http://dbpedia.org/resource/Macroeconomics
Introduction to Macroeconomics,national income,http://dbpedia.org/resource/Measures_of_national_income_and_output
Introduction to Macroeconomics,inflation,http://dbpedia.org/resource/Inflation
Introduction to Macroeconomics,international,http://dbpedia.org/resource/International_law
Introduction to Microeconomics,Microeconomics,http://dbpedia.org/resource/Microeconomics
Introduction to Microeconomics,monopoly,http://dbpedia.org/resource/Monopoly
Introduction to Microeconomics,economic efficiency,http://dbpedia.org/resource/Economic_efficiency
Labour Economics,Labour,http://dbpedia.org/resource/New_Zealand_Labour_Party
Labour Economics,economics,http://dbpedia.org/resource/Economics
Labour Economics,microeconomic,http://dbpedia.org/resource/Microeconomics
Labour Economics,moral hazard,http://dbpedia.org/resource/Moral_hazard
Labour Economics,adverse selection,http://dbpedia.org/resource/Adverse_selection
Labour Economics,human capital,http://dbpedia.org/resource/Human_capital
Labour Economics,efficiency wages,http://dbpedia.org/resource/Efficiency_wage
Mathematics for Advanced Study in Economics,economics,http://dbpedia.org/resource/Economics
Mathematics for Advanced Study in Economics,optimization,http://dbpedia.org/resource/Mathematical_optimization
Mathematics for Advanced Study in Economics,differential,http://dbpedia.org/resource/Differential_equation
Mathematics for Economists I,matrix algebra,http://dbpedia.org/resource/Matrix_ring
Mathematics for Economists I,univariate,http://dbpedia.org/resource/Univariate
Mathematics for Economists I,calculus,http://dbpedia.org/resource/Calculus
Mathematics for Economists I,exponential,http://dbpedia.org/resource/Exponential_function
Mathematics for Economists I,static analysis,http://dbpedia.org/resource/Static_program_analysis
Mathematics for Economists I,optimization,http://dbpedia.org/resource/Mathematical_optimization
Mathematics for Economists II,implicit function theorem,http://dbpedia.org/resource/Implicit_function_theorem
Mathematics for Economists II,calculus,http://dbpedia.org/resource/Calculus
Mathematics for Economists II,constrained optimization,http://dbpedia.org/resource/Constrained_optimization
Monetary Theory,post-Keynesian,http://dbpedia.org/resource/Post-Keynesian_economics
Monetary Theory,macroeconomic,http://dbpedia.org/resource/Macroeconomics
Monetary Theory,international,http://dbpedia.org/resource/International_law
Money and Banking,monetary economy,http://dbpedia.org/resource/Market_economy
Money and Banking,financial intermediaries,http://dbpedia.org/resource/Financial_intermediary
Money and Banking,Central banking,http://dbpedia.org/resource/Central_bank
Money and Banking,monetary policy,http://dbpedia.org/resource/Monetary_policy
Money and Banking,international,http://dbpedia.org/resource/International_law
Money and Banking,Canadian,http://dbpedia.org/resource/Canada
Natural Resource Economics,Canada,http://dbpedia.org/resource/Canada
Natural Resource Economics,energy,http://dbpedia.org/resource/Energy
Public Sector Economics,Public Sector Economics,http://dbpedia.org/resource/Public_economics
Public Sector Economics,market economy,http://dbpedia.org/resource/Market_economy
Public Sector Economics,market failure,http://dbpedia.org/resource/Market_failure
Public Sector Economics,public goods,http://dbpedia.org/resource/Public_good
Regional Economics,Canada,http://dbpedia.org/resource/Canada
Regional Economics,Canadian,http://dbpedia.org/resource/Canada
Statistical Methods I,probability,http://dbpedia.org/resource/Probability
Statistical Methods I,descriptive statistics,http://dbpedia.org/resource/Descriptive_statistics
Statistical Methods I,statistical estimation,http://dbpedia.org/resource/Estimation_theory
Statistical Methods I,confidence intervals,http://dbpedia.org/resource/Confidence_interval
Statistical Methods I,hypothesis testing,http://dbpedia.org/resource/Statistical_hypothesis_testing
Statistical Methods II,classical,http://dbpedia.org/resource/Classical_mechanics
Statistical Methods II,linear regression,http://dbpedia.org/resource/Linear_regression
Statistical Methods II,heteroscedasticity,http://dbpedia.org/resource/Heteroscedasticity
Statistical Methods II,multicollinearity,http://dbpedia.org/resource/Multicollinearity
The Asia-Pacific Rim Economies,Asia-Pacific,http://dbpedia.org/resource/Asia-Pacific
