Digital Geometric Modelling,spline,http://dbpedia.org/resource/Flat_spline
Comparative Study of Programming Languages,dynamic typing,http://dbpedia.org/resource/Type_system
Compiler Design ,lexical analysis,http://dbpedia.org/resource/Lexical_analysis
Compiler Design ,parsing,http://dbpedia.org/resource/Parsing
Compiler Design ,syntax-directed translation,http://dbpedia.org/resource/Syntax-directed_translation
Compiler Design ,code optimization,http://dbpedia.org/resource/Program_optimization
Computer Networks and Protocols,error detection,http://dbpedia.org/resource/Error_detection_and_correction
Computer Networks and Protocols,flow control,http://dbpedia.org/resource/Control_flow
Computer Networks and Protocols,Packet switching,http://dbpedia.org/resource/Packet_switching
Computer Networks and Protocols,Internet Protocol,http://dbpedia.org/resource/Internet_Protocol
Computer Networks and Protocols,IPv6,http://dbpedia.org/resource/IPv6
Computer Networks and Protocols,multicasting,http://dbpedia.org/resource/Multicast
Computer Networks and Protocols,UDP,http://dbpedia.org/resource/User_Datagram_Protocol
Computer Networks and Protocols,TCP,http://dbpedia.org/resource/Transmission_Control_Protocol
Computer Networks and Protocols,Network security,http://dbpedia.org/resource/Network_security
Advanced Database Technology and Applications,Query processing,http://dbpedia.org/resource/Query_optimization
Advanced Database Technology and Applications,optimization,http://dbpedia.org/resource/Query_optimization
Advanced Database Technology and Applications,Information integration,http://dbpedia.org/resource/Information_integration
Advanced Database Technology and Applications,Data warehouse,http://dbpedia.org/resource/Data_warehouse
Advanced Database Technology and Applications,Data mining,http://dbpedia.org/resource/Data_mining
Advanced Database Technology and Applications,OLAP,http://dbpedia.org/resource/Online_analytical_processing
Advanced Database Technology and Applications,XML,http://dbpedia.org/resource/XML
Advanced Database Technology and Applications,multimedia,http://dbpedia.org/resource/Multimedia
Advanced Database Technology and Applications,data management,http://dbpedia.org/resource/Data_management
Foundations of the Semantic Web,World Wide Web Consortium (W3C),http://dbpedia.org/resource/World_Wide_Web_Consortium
Foundations of the Semantic Web,Extensible Markup Language (XML),http://dbpedia.org/resource/XML
Foundations of the Semantic Web,Resource Description Framework (RDF),http://dbpedia.org/resource/Resource_Description_Framework
Foundations of the Semantic Web,schema,http://dbpedia.org/resource/XML_schema
Foundations of the Semantic Web,Semantic Web,http://dbpedia.org/resource/Semantic_Web
Foundations of the Semantic Web,ontology,http://dbpedia.org/resource/Ontology_engineering
Foundations of the Semantic Web,ontologies,http://dbpedia.org/resource/Ontology
Foundations of the Semantic Web,Web Ontology Language (OWL),http://dbpedia.org/resource/Web_Ontology_Language
Foundations of the Semantic Web,ontologies,http://dbpedia.org/resource/Ontology
Foundations of the Semantic Web,ontologies,http://dbpedia.org/resource/Ontology
Introduction to Knowledge-Base Systems,first-order logic,http://dbpedia.org/resource/First-order_logic
Introduction to Knowledge-Base Systems,relational algebra,http://dbpedia.org/resource/Relational_algebra
Introduction to Knowledge-Base Systems,relational calculus,http://dbpedia.org/resource/Relational_calculus
Introduction to Knowledge-Base Systems,logic programming,http://dbpedia.org/resource/Logic_programming
Introduction to Knowledge-Base Systems,knowledge representation,http://dbpedia.org/resource/Knowledge_representation_and_reasoning
Discrete Mathematics of Paul Erdös,Discrete Mathematics,http://dbpedia.org/resource/Discrete_mathematics
Discrete Mathematics of Paul Erdös,Paul Erdös,http://dbpedia.org/resource/Paul_Erdős
Discrete Mathematics of Paul Erdös,Computer Science,http://dbpedia.org/resource/Computer_science
Discrete Mathematics of Paul Erdös,Ramsey,http://dbpedia.org/resource/Ramsey_Abbey
Discrete Mathematics of Paul Erdös,theorem,http://dbpedia.org/resource/Theorem
Discrete Mathematics of Paul Erdös,Ramsey,http://dbpedia.org/resource/Ramsey_Abbey
Discrete Mathematics of Paul Erdös,Van,http://dbpedia.org/resource/Van
Discrete Mathematics of Paul Erdös,theorem,http://dbpedia.org/resource/Theorem
Discrete Mathematics of Paul Erdös,Van,http://dbpedia.org/resource/Van
Discrete Mathematics of Paul Erdös,conjecture,http://dbpedia.org/resource/Conjecture
Discrete Mathematics of Paul Erdös,theorem,http://dbpedia.org/resource/Theorem
Discrete Mathematics of Paul Erdös,Extremal graph theory,http://dbpedia.org/resource/Extremal_graph_theory
Discrete Mathematics of Paul Erdös,Random graphs,http://dbpedia.org/resource/Random_graph
Discrete Mathematics of Paul Erdös,graph colouring,http://dbpedia.org/resource/Graph_coloring
Discrete Mathematics of Paul Erdös,probabilistic method,http://dbpedia.org/resource/Probabilistic_method
Discrete Mathematics of Paul Erdös,Computer Science,http://dbpedia.org/resource/Computer_science
Large-Scale Optimization,optimization,http://dbpedia.org/resource/Mathematical_optimization
Large-Scale Optimization,optimization,http://dbpedia.org/resource/Mathematical_optimization
Large-Scale Optimization,Lagrangian Relaxation,http://dbpedia.org/resource/Lagrangian_relaxation
Large-Scale Optimization,non-linear programming,http://dbpedia.org/resource/Nonlinear_programming
Large-Scale Optimization,optimization,http://dbpedia.org/resource/Mathematical_optimization
Large-Scale Optimization,integer,http://dbpedia.org/resource/Integer
Large-Scale Optimization,nonlinear,http://dbpedia.org/resource/Nonlinear_system
Large-Scale Optimization,continuous optimization,http://dbpedia.org/resource/Continuous_optimization
Large-Scale Optimization,branch-and-bound,http://dbpedia.org/resource/Branch_and_bound
Large-Scale Optimization,DC,http://dbpedia.org/resource/Direct_current
Large-Scale Optimization,convex,http://dbpedia.org/resource/Convex_optimization
Large-Scale Optimization,bilinear,http://dbpedia.org/resource/Bilinear_form
Large-Scale Optimization,biconvex optimization,http://dbpedia.org/resource/Biconvex_optimization
Large-Scale Optimization,Heuristics,http://dbpedia.org/resource/Heuristic
Large-Scale Optimization,COMP,http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein
Theory of Computation,Turing machines,http://dbpedia.org/resource/Turing_machine
Theory of Computation,Turing machines,http://dbpedia.org/resource/Turing_machine
Theory of Computation,Turing computable,http://dbpedia.org/resource/Computable_function
Theory of Computation,recursive functions,http://dbpedia.org/resource/Computable_function
Theory of Computation,theorem,http://dbpedia.org/resource/Theorem
